CrimeDate,TotalCrime,Year,Month,Day,ViolentCount,TheftCount,Larceny,AutoTheft,Assault,Burglary,Robbery,Arson,Homicide,Rape,Shooting
01/01/2015,160,2015,1,1,52,108,56,15,47,24,13,1,0,2,2
01/02/2015,108,2015,1,2,11,97,44,9,10,22,22,0,0,1,0
01/03/2015,74,2015,1,3,25,49,20,10,19,10,9,2,3,0,1
01/04/2015,96,2015,1,4,23,73,42,11,21,5,15,0,2,0,0
01/05/2015,122,2015,1,5,24,98,56,10,22,22,10,0,1,1,0
01/06/2015,87,2015,1,6,20,67,39,14,18,5,9,1,0,0,1
01/07/2015,108,2015,1,7,27,81,43,11,24,19,8,1,0,0,2
01/08/2015,84,2015,1,8,19,65,33,8,16,13,11,2,0,0,1
01/09/2015,104,2015,1,9,30,74,41,6,23,19,8,1,2,2,2
01/10/2015,84,2015,1,10,24,60,30,15,23,10,5,0,1,0,0
01/11/2015,92,2015,1,11,30,62,33,6,29,14,9,0,0,1,0
01/12/2015,126,2015,1,12,45,81,36,13,42,21,11,0,1,1,1
01/13/2015,135,2015,1,13,27,108,63,15,25,17,13,0,0,1,1
01/14/2015,127,2015,1,14,27,100,54,13,24,25,8,1,0,1,1
01/15/2015,142,2015,1,15,24,118,66,15,23,24,13,1,0,0,0
01/16/2015,130,2015,1,16,29,101,56,5,27,33,7,0,0,0,2
01/17/2015,128,2015,1,17,39,89,59,9,32,13,8,1,1,1,4
01/18/2015,111,2015,1,18,22,89,42,10,19,21,16,0,2,1,0
01/19/2015,141,2015,1,19,30,111,53,15,27,23,20,1,0,0,2
01/20/2015,121,2015,1,20,20,101,50,8,17,30,13,1,0,1,1
01/21/2015,123,2015,1,21,29,94,45,13,29,22,14,0,0,0,0
01/22/2015,115,2015,1,22,29,86,57,6,28,16,7,0,0,0,1
01/23/2015,140,2015,1,23,31,109,52,16,28,25,16,1,0,0,2
01/24/2015,123,2015,1,24,33,90,46,13,30,19,12,2,1,0,0
01/25/2015,88,2015,1,25,26,62,28,11,25,16,7,0,1,0,0
01/26/2015,113,2015,1,26,33,80,43,7,30,19,11,0,1,0,2
