STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,year,month,day,RAINFALL
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-01,0.0,0.0,0.0,29,2015,1,1,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-02,0.0,0.0,0.0,37,2015,1,2,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-03,0.58,0.0,0.0,33,2015,1,3,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-04,0.21,0.0,0.0,47,2015,1,4,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-05,0.0,0.0,0.0,42,2015,1,5,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-06,0.22,2.3,1.2,24,2015,1,6,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-07,0.0,0.0,1.2,19,2015,1,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-08,0.0,0.0,1.2,13,2015,1,8,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-09,0.0,0.0,1.2,26,2015,1,9,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-10,0.0,0.0,0.0,21,2015,1,10,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-11,0.0,0.0,0.0,21,2015,1,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-12,0.7,0.0,0.0,34,2015,1,12,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-13,0.0,0.0,0.0,34,2015,1,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-14,0.0,0.0,0.0,26,2015,1,14,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-15,0.0,0.0,0.0,31,2015,1,15,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-16,0.0,0.0,0.0,34,2015,1,16,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-17,0.0,0.0,0.0,29,2015,1,17,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-18,0.75,0.0,0.0,35,2015,1,18,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-19,0.0,0.0,0.0,38,2015,1,19,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-20,0.0,0.0,0.0,34,2015,1,20,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-21,0.16,2.6,0.0,31,2015,1,21,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-22,0.0,0.0,0.0,35,2015,1,22,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-23,0.44,0.0,0.0,33,2015,1,23,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-24,0.62,0.0,0.0,35,2015,1,24,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-25,0.0,0.0,0.0,40,2015,1,25,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-26,0.13,1.0,0.0,35,2015,1,26,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-27,0.01,0.0,1.2,30,2015,1,27,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-28,0.0,0.0,1.2,28,2015,1,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-29,0.07,0.0,0.0,26,2015,1,29,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-30,0.0,0.0,0.0,35,2015,1,30,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-01-31,0.0,0.0,0.0,23,2015,1,31,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-01,0.07,0.4,0.0,27,2015,2,1,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-02,0.28,0.0,0.0,36,2015,2,2,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-03,0.0,0.0,0.0,25,2015,2,3,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-04,0.0,0.0,0.0,33,2015,2,4,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-05,0.0,0.0,0.0,32,2015,2,5,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-06,0.0,0.0,0.0,21,2015,2,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-07,0.0,0.0,0.0,31,2015,2,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-08,0.0,0.0,0.0,38,2015,2,8,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-09,0.08,0.0,0.0,37,2015,2,9,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-10,0.07,0.0,0.0,32,2015,2,10,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-11,0.0,0.0,0.0,33,2015,2,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-12,0.0,0.0,0.0,35,2015,2,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-13,0.0,0.0,0.0,20,2015,2,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-14,0.21,2.6,0.0,24,2015,2,14,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-15,0.0,0.0,1.2,14,2015,2,15,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-16,0.19,2.0,1.2,10,2015,2,16,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-17,0.18,1.8,3.1,17,2015,2,17,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-18,0.0,0.0,3.1,18,2015,2,18,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-19,0.0,0.0,1.2,16,2015,2,19,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-20,0.0,0.0,1.2,9,2015,2,20,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-21,0.92,6.3,1.2,12,2015,2,21,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-22,0.13,0.0,3.1,35,2015,2,22,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-23,0.0,0.0,1.2,32,2015,2,23,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-24,0.0,0.0,1.2,15,2015,2,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-25,0.0,0.0,1.2,24,2015,2,25,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-26,0.11,1.5,2.0,31,2015,2,26,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-27,0.0,0.0,2.0,28,2015,2,27,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-28,0.0,0.0,1.2,22,2015,2,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-01,0.61,0.3,1.2,23,2015,3,1,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-02,0.0,0.0,1.2,35,2015,3,2,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-03,0.12,0.0,0.0,28,2015,3,3,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-04,0.41,0.0,0.0,38,2015,3,4,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-05,0.89,6.2,0.0,34,2015,3,5,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-06,0.0,0.0,5.1,19,2015,3,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-07,0.0,0.0,3.9,23,2015,3,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-08,0.0,0.0,0.0,42,2015,3,8,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-09,0.0,0.0,0.0,43,2015,3,9,No Rain
